timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,additional_integ1
64449335,-0.00402543,-0.022686,-0.0206039,0.0
64651761,-0.00358024,-0.0327627,-0.0195249,0.0
64851838,-0.00347702,-0.0311315,-0.0197695,0.0
65050352,-0.00566575,-0.0309427,-0.0246433,0.0
65250325,-0.00424797,-0.034902,-0.0351271,0.0
65450226,-0.00174691,-0.036431,-0.0415777,0.0
65649000,0.000720796,-0.0347795,-0.0449893,0.0
65852562,0.000852572,-0.0313435,-0.0441845,0.0
66050017,-2.40136e-05,-0.0280848,-0.0431634,0.0
66251179,0.00165819,-0.0241726,-0.0339909,0.0
66452469,0.00019449,-0.0216963,-0.0251259,0.0
66651038,-0.00349673,-0.0191197,-0.0201462,0.0
66849723,0.00208516,-0.0174068,-0.0177259,0.0
67049662,0.00147363,-0.0167284,-0.0168673,0.0
67252160,-0.00311057,-0.018695,-0.0176893,0.0
67452010,-0.00984428,-0.0140763,-0.019278,0.0
67651930,-0.0110272,-0.0129208,-0.0204004,0.0
67850613,-0.0101549,-0.014198,-0.0211527,0.0
68050609,-0.0103697,-0.017252,-0.0218404,0.0
68250491,-0.00820477,-0.0179399,-0.0227219,0.0
68449169,-0.00919987,-0.0174421,-0.0236306,0.0
68652825,-0.0105215,-0.0198374,-0.0248346,0.0
68851509,-0.0100522,-0.0216927,-0.026851,0.0
69051442,-0.0119929,-0.0215037,-0.028727,0.0
69251376,-0.0134303,-0.0207656,-0.0284218,0.0
69450071,-0.0124341,-0.0187132,-0.0222494,0.0
69651258,-0.0113383,-0.0198042,-0.0141496,0.0
69849923,-0.0110862,-0.0207474,-0.0136485,0.0
70052357,-0.0111184,-0.0200297,-0.0168279,0.0
70252266,-0.0104128,-0.0215244,-0.0208704,0.0
70450953,-0.0113238,-0.0216624,-0.0235242,0.0
70650884,-0.0106249,-0.0220453,-0.025857,0.0
70850818,-0.0100037,-0.0221686,-0.0279609,0.0
71049681,-0.0123023,-0.0230701,-0.0296248,0.0
71249438,-0.0134927,-0.022238,-0.0303273,0.0
71451844,-0.0133589,-0.022958,-0.02985,0.0
71651774,-0.0156876,-0.0231724,-0.0294563,0.0
71851885,-0.0168129,-0.0243545,-0.0287597,0.0
72050398,-0.0159061,-0.0252726,-0.0273638,0.0
72250324,-0.0186801,-0.0261402,-0.0258603,0.0
72450249,-0.0117066,-0.0263028,-0.0243292,0.0
72649060,-0.00941177,-0.0260503,-0.0223634,0.0
72850125,-0.0122827,-0.0255536,-0.0206852,0.0
73051319,-0.00688154,-0.0259343,-0.0194609,0.0
73251226,-0.0049479,-0.0261936,-0.0194944,0.0
73451246,-0.00289869,-0.0269493,-0.020364,0.0
73649844,-0.000397325,-0.0267824,-0.0212737,0.0
73849762,-0.00528373,-0.02548,-0.0218071,0.0
74049701,-0.00322291,-0.0268067,-0.0220073,0.0
74252229,-0.00312314,-0.026778,-0.0222396,0.0
74452049,-0.00245758,-0.027508,-0.02272,0.0
74651978,-0.00379471,-0.0277076,-0.0239865,0.0
74850684,-0.00340767,-0.0257957,-0.0250199,0.0
75050630,-0.00130993,-0.0270776,-0.0259528,0.0
75249294,0.00405872,-0.0278268,-0.0255183,0.0
75449244,-0.000968606,-0.0256606,-0.0255782,0.0
75652872,-0.00469,-0.0231238,-0.0266056,0.0
75851547,0.00261446,-0.0243084,-0.0259591,0.0
76051482,0.00133055,-0.0236444,-0.0247891,0.0
76251427,0.00371629,-0.0206528,-0.0226291,0.0
76451359,0.00447763,-0.0220701,-0.0188517,0.0
76650040,0.00526654,-0.0228849,-0.0147465,0.0
76849965,0.00273674,-0.0235034,-0.0123457,0.0
77052385,0.00459973,-0.0272545,-0.0155889,0.0
77252312,0.00389056,-0.029179,-0.0193345,0.0
77451049,0.00430499,-0.0286543,-0.0209067,0.0
77650928,0.00326268,-0.0271022,-0.0206444,0.0
77850867,0.00318781,-0.0287263,-0.0196432,0.0
78049549,-0.000958585,-0.0320728,-0.0201164,0.0
78249483,-0.00571033,-0.0373599,-0.0192013,0.0
78451896,-0.00502455,-0.0357923,-0.0204914,0.0
78651826,0.00277283,-0.0385319,-0.0232861,0.0
78851943,0.00436669,-0.041181,-0.0258291,0.0
79050440,0.0128018,-0.0433242,-0.0268971,0.0
79250377,0.00799182,-0.0418229,-0.0269237,0.0
79450301,-0.0013649,-0.0411625,-0.0279019,0.0
79649148,0.00513196,-0.0420349,-0.0283067,0.0
79852646,0.00771396,-0.0408411,-0.0272695,0.0
80051343,0.00951159,-0.0376434,-0.0252775,0.0
