timestamp,x,y,z,r,flaps,aux1,aux2,aux3,aux4,aux5,aux6,mode_switch,return_switch,rattitude_switch,posctl_switch,loiter_switch,acro_switch,offboard_switch,kill_switch,arm_switch,transition_switch,gear_switch,mode_slot,data_source,stab_switch,man_switch
304759226,-0.0,0.0,0.7656805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,3,0,0,0,1,1,0,0
304961250,-0.0,0.0,0.7597633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,3,0,0,0,1,1,0,0
305161715,0.007194245,0.0,0.75502956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,3,0,0,0,1,1,0,0
305360430,0.06714629,0.0,0.75502956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,3,0,0,0,1,1,0,0
305558870,0.07194245,0.0,0.756213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,3,0,0,0,1,1,0,0
305757521,0.06954437,0.0,0.75739646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,3,0,0,0,1,1,0,0
305959418,0.06714629,0.0,0.75739646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,3,0,0,0,1,1,0,0
306159912,-0.0,0.0,0.6994083,-0.0022779044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,3,0,0,0,1,1,0,0
306361890,-0.0,0.0,0.63076925,-0.009111618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,3,0,0,0,1,1,0,0
306562412,-0.0,0.0,0.63786983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,3,0,0,0,1,1,0,0
306763616,0.06235012,0.0,0.6390532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,3,0,0,0,1,1,0,0
306964029,0.15107913,0.0,0.64378697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,3,0,0,0,1,1,0,0
307163126,0.09832134,0.0,0.6804734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,3,0,0,0,1,1,0,0
307365051,-0.0,0.0,0.7076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,3,0,0,0,1,1,0,0
307565542,-0.0,0.0,0.7076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,3,0,0,0,1,1,0,0
307764112,-0.0,0.0,0.7076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,3,0,0,0,1,1,0,0
307965742,-0.0,0.0,0.7076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,3,0,0,0,1,1,0,0
308166512,-0.0,0.0,0.7088757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,3,0,0,0,1,1,0,0
308367967,-0.0,0.0,0.7076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,3,0,0,0,1,1,0,0
308566561,0.0119904075,0.0,0.7088757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,3,0,0,0,1,1,0,0
308765353,0.08872902,0.0,0.7088757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,3,0,0,0,1,1,0,0
308966116,0.13429257,0.0,0.7076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,3,0,0,0,1,1,0,0
309168083,0.19184652,0.0,0.7088757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,3,0,0,0,1,1,0,0
309368547,0.18465228,0.0,0.7076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,3,0,0,0,1,1,0,0
309577050,0.13429257,0.0,0.7076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,3,0,0,0,1,1,0,0
309769224,0.15827338,0.0,0.7076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,3,0,0,0,1,1,0,0
309969492,0.2470024,0.0,0.7088757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,3,0,0,0,1,1,0,0
310171776,0.26858515,0.0,0.7076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,3,0,0,0,1,1,0,0
310370295,0.11510792,0.0,0.72662723,0.007352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,3,0,0,0,1,1,0,0
310570663,0.043165468,0.0,0.747929,0.014705882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,3,0,0,0,1,1,0,0
310772740,0.04796163,0.0,0.7502959,0.036764707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,3,0,0,0,1,1,0,0
310971517,0.05755396,0.0,0.7502959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,3,0,0,0,1,1,0,0
311171412,0.07673861,0.0,0.7502959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,3,0,0,0,1,1,0,0
